year,state,county,temp_gs,pcpn_gs,TMAX_AVG_GS,PREC_GS,temp_diff,pcpn_diff,abs_temp_diff,abs_pcpn_diff
2010,17,1,26.953703703703702,1017.016,26.981147540983613,1016.99,-0.027443837279911065,0.025999999999953616,0.027443837279911065,0.025999999999953616
2011,17,1,26.01851851851852,583.9459999999999,26.075737704918023,583.9599999999999,-0.05721918639950374,-0.014000000000010004,0.05721918639950374,0.014000000000010004
2012,17,1,27.98148148148148,391.414,28.028907103825137,391.18000000000006,-0.047425622343656215,0.2339999999999236,0.047425622343656215,0.2339999999999236
2013,17,1,25.53703703703704,643.128,25.58087431693989,643.37,-0.04383727990284925,-0.2419999999999618,0.04383727990284925,0.2419999999999618
2014,17,1,24.953703703703702,790.702,24.97972677595629,791.06,-0.026023072252588264,-0.35799999999994725,0.026023072252588264,0.35799999999994725
2015,17,1,26.06481481481481,799.592,26.083114754098364,799.86,-0.018299939283554778,-0.2680000000000291,0.018299939283554778,0.2680000000000291
2016,17,1,26.38888888888889,612.14,26.403005464480877,612.49,-0.014116575591987868,-0.35000000000002274,0.014116575591987868,0.35000000000002274
2017,17,1,26.444444444444446,599.1859999999999,26.464699453551912,599.54,-0.020255009107465582,-0.35400000000004184,0.020255009107465582,0.35400000000004184
2018,17,1,26.84259259259259,544.068,26.886612021857925,543.74,-0.04401942926533309,0.32799999999997453,0.04401942926533309,0.32799999999997453
2019,17,1,25.79629629629629,798.83,25.694426229508203,798.7499999999999,0.10187006678808785,0.08000000000015461,0.10187006678808785,0.08000000000015461
2020,17,1,24.96296296296296,632.7139999999999,25.04475409836065,635.2600000000001,-0.08179113539769034,-2.546000000000163,0.08179113539769034,2.546000000000163
2021,17,1,25.66666666666667,697.23,25.694371584699454,696.68,-0.02770491803278219,0.5500000000000682,0.02770491803278219,0.5500000000000682
2022,17,1,25.65740740740741,570.4839999999999,25.73147540983607,564.7899999999998,-0.0740680024286604,5.694000000000074,0.0740680024286604,5.694000000000074
2023,17,1,26.87962962962963,348.48800000000006,26.92540983606557,343.90000000000003,-0.045780206435939164,4.588000000000022,0.045780206435939164,4.588000000000022
2024,17,1,26.722222222222214,616.712,26.74464480874316,616.5600000000001,-0.022422586520946197,0.15199999999992997,0.022422586520946197,0.15199999999992997
2025,17,1,26.31481481481482,539.7499999999999,26.35486338797815,540.6999999999998,-0.04004857316332888,-0.9499999999999318,0.04004857316332888,0.9499999999999318
1951,17,3,27.129629629629623,623.0619999999999,27.17573770491803,623.1400000000001,-0.046108075288408656,-0.07800000000020191,0.046108075288408656,0.07800000000020191
1952,17,3,29.04629629629629,510.286,29.06229508196721,510.4,-0.015998785670920057,-0.1139999999999759,0.015998785670920057,0.1139999999999759
1953,17,3,29.342592592592595,349.75800000000004,29.36939890710382,349.68,-0.026806314511226503,0.07800000000003138,0.026806314511226503,0.07800000000003138
1954,17,3,29.68518518518518,544.8299999999999,29.69743169398908,544.65,-0.012246508803901435,0.17999999999994998,0.012246508803901435,0.17999999999994998
1955,17,3,28.972222222222214,608.584,28.99612021857923,608.7600000000001,-0.023897996357014506,-0.17600000000015825,0.023897996357014506,0.17600000000015825
1956,17,3,28.36111111111111,485.648,28.39371584699453,485.91,-0.03260473588342094,-0.26200000000000045,0.03260473588342094,0.26200000000000045
1957,17,3,27.685185185185187,881.888,27.708688524590173,882.15,-0.023503339404985724,-0.2619999999999436,0.023503339404985724,0.2619999999999436
1958,17,3,27.32407407407408,797.56,27.35945355191256,798.0400000000001,-0.035379477838478834,-0.4800000000001319,0.035379477838478834,0.4800000000001319
1959,17,3,28.203703703703702,526.796,28.24857923497268,526.75,-0.044875531268978364,0.04600000000004911,0.044875531268978364,0.04600000000004911
1960,17,3,28.31481481481482,502.158,28.31950819672131,501.83,-0.00469338190648827,0.3280000000000314,0.00469338190648827,0.3280000000000314
